"Date","Price","Open","High","Low","Change %"
"Jan 01, 2019","14,380.0","14,380.0","14,380.0","14,380.0","0.00%"
"Jan 02, 2019","14,450.0","14,425.0","14,485.0","14,425.0","0.49%"
"Jan 03, 2019","14,410.0","14,445.0","14,490.0","14,410.0","-0.28%"
"Jan 04, 2019","14,270.0","14,380.0","14,380.0","14,255.0","-0.97%"
"Jan 07, 2019","14,090.0","14,190.0","14,190.0","13,995.0","-1.26%"
"Jan 08, 2019","14,145.0","14,050.0","14,162.0","13,995.0","0.39%"
"Jan 09, 2019","14,125.0","14,105.0","14,180.0","14,085.0","-0.14%"
"Jan 10, 2019","14,055.0","14,055.0","14,110.0","14,005.0","-0.50%"
"Jan 11, 2019","14,045.0","14,065.0","14,095.0","14,015.0","-0.07%"
"Jan 14, 2019","14,124.0","14,034.0","14,144.0","14,034.0","0.56%"
"Jan 15, 2019","14,092.5","14,087.5","14,107.5","14,062.5","-0.22%"
"Jan 16, 2019","14,122.5","14,112.5","14,162.5","14,107.5","0.21%"
"Jan 17, 2019","14,180.0","14,120.0","14,200.0","14,120.0","0.41%"
"Jan 18, 2019","14,175.0","14,185.0","14,200.0","14,155.0","-0.04%"
"Jan 21, 2019","14,222.5","14,182.5","14,232.5","14,182.5","0.34%"
"Jan 22, 2019","14,215.0","14,210.0","14,230.0","14,185.0","-0.05%"
"Jan 23, 2019","14,180.0","14,195.0","14,200.0","14,165.0","-0.25%"
"Jan 24, 2019","14,165.0","14,135.0","14,175.0","14,120.0","-0.11%"
"Jan 25, 2019","14,085.0","14,155.0","14,170.0","14,084.0","-0.56%"
"Jan 28, 2019","14,070.0","14,065.0","14,075.0","14,025.0","-0.11%"
"Jan 29, 2019","14,095.0","14,070.0","14,097.0","14,070.0","0.18%"
"Jan 30, 2019","14,130.0","14,097.0","14,132.0","14,085.0","0.25%"
"Jan 31, 2019","13,972.5","14,132.5","14,132.5","13,957.5","-1.11%"
"Feb 01, 2019","13,940.0","13,945.0","13,985.0","13,940.0","-0.23%"
"Feb 04, 2019","13,955.0","13,950.0","13,995.0","13,940.0","0.11%"
"Feb 05, 2019","13,955.0","13,955.0","13,955.0","13,955.0","0.00%"
"Feb 06, 2019","13,922.0","13,950.0","13,950.0","13,890.0","-0.24%"
"Feb 07, 2019","13,972.5","13,927.5","13,987.5","13,927.5","0.36%"
"Feb 08, 2019","13,965.0","13,975.0","14,000.0","13,948.0","-0.05%"
"Feb 11, 2019","14,040.0","13,985.0","14,050.0","13,985.0","0.54%"
"Feb 12, 2019","14,068.5","14,083.5","14,098.5","14,033.5","0.20%"
"Feb 13, 2019","14,057.5","14,027.5","14,057.5","14,007.5","-0.08%"
"Feb 14, 2019","14,090.0","14,065.0","14,100.0","14,065.0","0.23%"
"Feb 15, 2019","14,142.5","14,092.5","14,157.5","14,092.5","0.37%"
"Feb 18, 2019","14,106.5","14,101.5","14,116.5","14,076.5","-0.25%"
